edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
1.4278557114228456,-1.3,-0.7765531062124249,-2.0,-2.977603742830947,-2.6574225604585116,-4.91122464913502,-2.3970806601788976,-6.306758877484705,-1.5226906608669375,-2.977603742830947,-2.6574225604585116,13.002148057154253
1.437875751503006,-1.3,-0.7665330661322647,-2.0,-2.9677555123677575,-2.6591737026094364,-4.904163056034262,-2.4041630560342617,-6.303033524892972,-1.5319712818914508,-2.9677555123677575,-2.6591737026094364,13.012150763892373
1.447895791583166,-1.3,-0.7565130260521042,-2.0,-2.957900862031248,-2.6608883480054253,-4.897080660178897,-2.4112246491350198,-6.299285546813094,-1.5412427887186135,-2.957900862031248,-2.6608883480054253,13.022153470630492
1.4579158316633265,-1.3,-0.746492985971944,-2.0,-2.948039927074999,-2.6625664731132312,-4.88997752285152,-2.4182653783785835,-6.295514965543015,-1.550505126189203,-2.948039927074999,-2.6625664731132312,13.032156177368613
1.467935871743487,-1.3,-0.7364729458917836,-2.0,-2.938172842838841,-2.664208054900842,-4.882853705514193,-2.425285182842892,-6.2917218035151565,-1.5597582391985518,-2.938172842838841,-2.664208054900842,13.042158884106732
1.477955911823647,-1.3,-0.7264529058116234,-2.0,-2.928299744747009,-2.665813070837798,-4.875709269807918,-2.432284001786947,-6.287906083296275,-1.5690020726968679,-2.928299744747009,-2.665813070837798,13.052161590844852
1.4879759519038074,-1.3,-0.7164328657314629,-2.0,-2.9184207683062704,-2.6673814988954976,-4.8685442775521075,-2.4392617746513316,-6.284067827587338,-1.578236571689568,-2.9184207683062704,-2.6673814988954976,13.062164297582973
1.4979959919839678,-1.3,-0.7064128256513027,-2.0,-2.908536049104078,-2.6689133175475055,-4.861358790744044,-2.446218441058735,-6.280207059223381,-1.5874616812376026,-2.908536049104078,-2.6689133175475055,13.072167004321093
1.5080160320641278,-1.3,-0.6963927855711423,-2.0,-2.898645722806699,-2.670408505769843,-4.854152871558343,-2.4531539408144782,-6.276323801173376,-1.5966773464577826,-2.898645722806699,-2.670408505769843,13.082169711059214
1.5180360721442883,-1.3,-0.686372745490982,-2.0,-2.8887499251573603,-2.6718670430412788,-4.846926582346423,-2.4600682139070322,-6.272418076540092,-1.6058835125231063,-2.8887499251573603,-2.6718670430412788,13.092172417797334
1.5280561122244487,-1.3,-0.6763527054108218,-2.0,-2.8788487919743786,-2.6732889093436114,-4.839679985635954,-2.466961200508541,-6.268489908559961,-1.6150801246630873,-2.8788487919743786,-2.6732889093436114,13.102175124535455
1.5380761523046091,-1.3,-0.6663326653306614,-2.0,-2.8689424591493045,-2.6746740851619406,-4.832413144130326,-2.4738328409753323,-6.264539320602937,-1.6242671281640761,-2.8689424591493045,-2.6746740851619406,13.112177831273575
1.5480961923847696,-1.3,-0.6563126252505012,-2.0,-2.859031062645048,-2.67602255148494,-4.825126120708105,-2.4806830758484404,-6.260566336172357,-1.6334444683695901,-2.859031062645048,-2.67602255148494,13.122180538011696
1.55811623246493,-1.3,-0.6462925851703407,-2.0,-2.8491147384940225,-2.6773342898051133,-4.8178189784224825,-2.4875118458541174,-6.2565709789048025,-1.6426120906806352,-2.8491147384940225,-2.6773342898051133,13.132183244749816
1.5681362725450896,-1.3,-0.6362725450901805,-2.0,-2.8391936227962673,-2.6786092821190524,-4.8104917805007394,-2.4943190919043463,-6.25255327256996,-1.6517699405560333,-2.8391936227962673,-2.6786092821190524,13.142185951487937
1.57815631262525,-1.3,-0.62625250501002,-2.0,-2.8292678517175887,-2.6798475109276807,-4.803144590343692,-2.501104755097352,-6.248513241070475,-1.660917963512745,-2.8292678517175887,-2.6798475109276807,13.152188658226057
1.5881763527054105,-1.3,-0.6162324649298598,-2.0,-2.8193375614876874,-2.6810489592364957,-4.7957774715251436,-2.5078687767181154,-6.244450908441813,-1.6700561051261955,-2.8193375614876874,-2.6810489592364957,13.162191364964178
1.598196392785571,-1.3,-0.6062124248496994,-2.0,-2.809402888398286,-2.6822136105558037,-4.7883904877913395,-2.514611098238873,-6.240366298852118,-1.6791843110305968,-2.809402888398286,-2.6822136105558037,13.172194071702299
1.6082164328657313,-1.3,-0.5961923847695392,-2.0,-2.799463968801264,-2.68334144890094,-4.780983703060412,-2.521331661319631,-6.236259436602067,-1.6883025269192713,-2.799463968801264,-2.68334144890094,13.182196778440419
1.6182364729458918,-1.3,-0.5861723446893787,-2.0,-2.789520939106781,-2.6844324587924966,-4.7735571814218245,-2.5280304078086657,-6.232130346124725,-1.6974106985449755,-2.789520939106781,-2.6844324587924966,13.19219948517854
1.6282565130260522,-1.3,-0.5761523046092185,-2.0,-2.7795739357814098,-2.6854866252565275,-4.766110987135825,-2.5347072797430275,-6.227979051985397,-1.7065087717202225,-2.7795739357814098,-2.6854866252565275,13.20220219191666
1.6382765531062127,-1.3,-0.5661322645290583,-2.0,-2.769623095346258,-2.686503933824759,-4.758645184632878,-2.5413622193490464,-6.223805578881487,-1.7155966923176047,-2.769623095346258,-2.686503933824759,13.212204898654779
1.6482965931863722,-1.3,-0.5561122244488979,-2.0,-2.7596685543751005,-2.6874843705347846,-4.7511598385131215,-2.5479951690428253,-6.219609951642353,-1.724674406270115,-2.7596685543751005,-2.6874843705347846,13.2222076053929
1.6583166332665327,-1.3,-0.5460921843687376,-2.0,-2.7497104494924964,-2.68842792193026,-4.743655013545796,-2.554606071430743,-6.215392195229148,-1.7337418595714673,-2.7497104494924964,-2.68842792193026,13.23221031213102
1.668336673346693,-1.3,-0.5360721442885772,-2.0,-2.7397489173719243,-2.689334575061086,-4.736130774668691,-2.5611948693099476,-6.211152334734683,-1.742798998276425,-2.7397489173719243,-2.689334575061086,13.24221301886914
1.6783567134268536,-1.3,-0.526052104208417,-2.0,-2.7297840947338963,-2.6902043174835857,-4.728587186987579,-2.5677615056688556,-6.206890395383272,-1.7518457685011108,-2.7297840947338963,-2.6902043174835857,13.252215725607261
1.688376753507014,-1.3,-0.5160320641282565,-2.0,-2.719816118344091,-2.6910371372606763,-4.721024315775656,-2.574305923687641,-6.202606402530584,-1.7608821164233353,-2.719816118344091,-2.6910371372606763,13.262218432345382
1.6983967935871744,-1.3,-0.5060120240480963,-2.0,-2.709845125011468,-2.691833022962034,-4.713442226472972,-2.5808280667387304,-6.198300381663492,-1.769907988282914,-2.709845125011468,-2.691833022962034,13.272221139083502
1.7084168336673349,-1.3,-0.4959919839679361,-2.0,-2.699871251586395,-2.6925919636642477,-4.705840984685869,-2.58732787838729,-6.193972358399918,-1.7789233303819882,-2.699871251586395,-2.6925919636642477,13.282223845821623
1.7184368737474944,-1.3,-0.48597194388777565,-2.0,-2.689894634958771,-2.6933139489509714,-4.698220656186411,-2.5938053023917162,-6.189622358488688,-1.7879280890853442,-2.689894634958771,-2.6933139489509714,13.292226552559743
1.7284569138276549,-1.3,-0.4759519038076152,-2.0,-2.679915412056141,-2.6939989689130672,-4.690581306911818,-2.60026028270412,-6.18525040780937,-1.7969222108207323,-2.679915412056141,-2.6939989689130672,13.302229259297862
1.7384769539078153,-1.3,-0.4659318637274552,-2.0,-2.6699337198418247,-2.69464701414874,-4.68292300296389,-2.6066927634708144,-6.180856532372127,-1.805905642079186,-2.6699337198418247,-2.69464701414874,13.312231966035982
1.7484969939879758,-1.3,-0.45591182364729477,-2.0,-2.659949695313028,-2.695258075763668,-4.675245810608439,-2.6131026890327966,-6.1764407583175585,-1.8148783294153394,-2.659949695313028,-2.695258075763668,13.322234672774103
1.7585170340681362,-1.3,-0.4458917835671343,-2.0,-2.649963475498973,-2.695832145371123,-4.667549796274715,-2.61949000392623,-6.1720031119165455,-1.823840219447746,-2.649963475498973,-2.695832145371123,13.332237379512224
1.7685370741482966,-1.3,-0.4358717434869739,-2.0,-2.639975197459007,-2.696369215092086,-4.6598350265548305,-2.6258546528829223,-6.167543619570096,-1.8327912588591957,-2.639975197459007,-2.696369215092086,13.342240086250344
1.778557114228457,-1.3,-0.4258517034068139,-2.0,-2.6299849982807295,-2.696869277555358,-4.652101568203188,-2.6321965808308057,-6.163062307809186,-1.8417313943970313,-2.6299849982807295,-2.696869277555358,13.352242792988465
1.7885771543086166,-1.3,-0.41583166332665344,-2.0,-2.6199930150781046,-2.6973323258976576,-4.644349488135891,-2.638515732894413,-6.158559203294603,-1.8506605728734704,-2.6199930150781046,-2.6973323258976576,13.362245499726585
1.798597194388777,-1.3,-0.405811623246493,-2.0,-2.609999384989585,-2.697758353763716,-4.6365788534301835,-2.6448120543953517,-6.154034332816783,-1.859578741165913,-2.609999384989585,-2.697758353763716,13.372248206464706
